"network","_Intercept__estimate","_Intercept__p_value","ConditioncondCond_over_Expt_estimate","ConditioncondCond_over_Expt_p_value"
"DefaultC",0.951780364496186,3.95420720010933e-54,0.0150169654641888,2.15187416487614e-05
"VisCent",0.73452764296749,1.15410428275274e-36,0.0694991075546756,4.96453725460503e-72
"VisPeri",0.827706888577943,6.34634372740881e-09,0.0287842515732122,1.3427767544189e-16
"DorsAttnA",0.826723398442758,2.64450276693308e-28,0.0257377545469522,1.33680067862952e-11
"SomMotB",0.921534994384503,1.35311954728055e-25,0.00407659241737511,0.18648315741851
"SomMotA",0.879632423109749,1.36225555145558e-09,0.0113385652906852,0.00568908123506934
"DorsAttnB",0.845689340487684,7.74092902675744e-28,0.0192471505224777,6.41700933617982e-07
"ContC",0.917090357669492,1.39008149565258e-11,0.00350308882191023,0.367913218704656
"ContA",0.868264793832335,7.02397910816682e-29,0.00822400419353446,0.0290773430002947
"SalVentAttnA",0.905760396569288,8.21024931645538e-19,0.00555267116891402,0.0347471158081024
"SalVentAttnB",0.917632825213081,5.16112393659926e-45,0.00600999562758331,0.101941917449337
"LimbicB",1.03181717865007,2.11661631380508e-86,0.00257000198178005,0.419884420646976
"LimbicA",1.02575075093723,2.71646556454306e-82,-0.00147547623217886,0.595135098561781
"DefaultB",0.957810359366787,2.24406178194648e-42,-0.00158393705015643,0.511679767736993
"TempPar",0.93992466045917,5.30265297334319e-09,0.00723843947950492,0.054495619779034
"DefaultA",0.958502976537424,5.4334634019885e-33,-0.0019510366994098,0.497839778148223
"ContB",0.947113834531695,1.89698576136668e-07,0.00336248651684649,0.353710906875923
