"network","_Intercept__estimate","_Intercept__p_value","neural_shift_estimate","neural_shift_p_value","poly_semantic_distance_3_1_estimate","poly_semantic_distance_3_1_p_value","poly_semantic_distance_3_2_estimate","poly_semantic_distance_3_2_p_value","poly_semantic_distance_3_3_estimate","poly_semantic_distance_3_3_p_value","neural_shift_poly_semantic_distance_3_1_estimate","neural_shift_poly_semantic_distance_3_1_p_value","neural_shift_poly_semantic_distance_3_2_estimate","neural_shift_poly_semantic_distance_3_2_p_value","neural_shift_poly_semantic_distance_3_3_estimate","neural_shift_poly_semantic_distance_3_3_p_value"
"DefaultC",0.551847120179137,3.52718007408508e-53,-0.00318231602564817,0.731779700878134,-2.6022044287742,0.00175421441043211,1.73778300510106,0.0394769541850641,1.58410918407547,0.0752251711130661,-0.394293668302919,0.597503112178891,-0.68451835990159,0.373353739058164,-1.5422108991554,0.0533638873597723
"VisCent",0.534882404134104,7.92326278040013e-47,0.0163666248169207,0.00260618549561872,-4.8113068631272,6.65724738710727e-16,1.43630014946835,0.0131420307446014,2.11764445028423,0.00043726645024785,0.942378659910448,0.106473992748411,-0.177671468878275,0.763742025753406,-2.55543373024213,2.83065605501502e-05
"VisPeri",0.539015212905051,4.43168715346862e-48,0.0108719864361115,0.0954021841332667,-3.60126925604508,4.75111717878712e-08,1.90117608798518,0.00316662263377477,1.54364165324729,0.0191908676448566,-0.130930042033256,0.839530719851167,-0.746212460625176,0.252513837607665,-1.8061781734453,0.00656495872555147
"DorsAttnA",0.538261683945845,8.05295301210725e-48,0.0114832948804903,0.0568974748345948,-4.3922530669997,2.83327797536473e-12,1.48048299362961,0.0146110740134915,0.86188079105083,0.162830389404643,0.738794018544482,0.210847947845493,-0.305985423012859,0.603106414061654,-1.02985928438312,0.0810128921358577
"SomMotB",0.546355947442613,8.50457449630712e-48,0.00236391858405009,0.615905933704876,-5.09229793374785,1.62047094169917e-16,1.82726543998456,0.00270319036529806,1.55462841227545,0.0116464910673948,0.796937991275915,0.137339407639444,-0.390293952940088,0.471867231618205,-1.59578964560469,0.00289100027439243
"SomMotA",0.541590649892308,2.58488062809463e-47,0.00737796532578569,0.145112126985687,-4.300886798421,2.87839206459975e-14,0.765516274523376,0.161233828586127,0.0811904260372567,0.882952831950931,0.600486971142294,0.230212951087103,0.482096090776769,0.334860995541332,-0.194698002018911,0.699611349882327
"DorsAttnB",0.547369995242983,2.21273423007038e-47,0.00130830257566452,0.785177559706953,-4.60788062352948,2.81380395016424e-16,0.312912731159228,0.563947374357213,0.328764710192079,0.554712901667855,0.633961378102682,0.220514691021023,1.10690781398035,0.0323307616392374,-0.469784544120132,0.373373851470129
"ContC",0.54042511258621,4.43006840413766e-49,0.00856618106386692,0.201776211568244,-4.51217100523782,1.25514058979055e-11,2.27833555862875,0.000481426426936926,2.04581428008146,0.00209655860912846,1.17756893333986,0.0493599400253443,-1.1612715180811,0.0534636466187467,-2.06661217086083,0.000467653041543386
"ContA",0.542153719697909,4.33566512838539e-48,0.00693887936688196,0.234314733843944,-5.61750869125264,1.34292491656507e-18,0.181856802435363,0.768218789886491,0.24854641166836,0.698138649530176,1.99733030024304,0.000600938673055647,1.0868181046164,0.0622102618512317,-0.344591443519863,0.5654132590557
"SalVentAttnA",0.542727136940078,5.86790411698822e-48,0.0061072328983481,0.261332995367408,-5.71968073223397,6.33786626906677e-16,-0.0281026428565719,0.96739545092712,1.02748990647516,0.142288264117192,1.16477112199695,0.0793234767175266,1.58250445723132,0.0172603687256834,-1.18226670403161,0.0791042123497348
