"node","_Intercept__estimate","_Intercept__p_value","neural_shift_estimate","neural_shift_p_value","poly_semantic_distance_3_1_estimate","poly_semantic_distance_3_1_p_value","poly_semantic_distance_3_2_estimate","poly_semantic_distance_3_2_p_value","poly_semantic_distance_3_3_estimate","poly_semantic_distance_3_3_p_value","neural_shift_poly_semantic_distance_3_1_estimate","neural_shift_poly_semantic_distance_3_1_p_value","neural_shift_poly_semantic_distance_3_2_estimate","neural_shift_poly_semantic_distance_3_2_p_value","neural_shift_poly_semantic_distance_3_3_estimate","neural_shift_poly_semantic_distance_3_3_p_value"
1,0.556548367531115,5.35213038924314e-56,-0.0075249393336786,0.757644557732503,-0.822696601018801,0.434626150394016,1.13749134686524,0.28651496762228,1.52481313188595,0.185584492608575,-0.625151217135608,0.529683835735038,-0.511234595796787,0.61416256183331,-1.44080633924723,0.177601736501271
2,0.525268310674555,4.43153410526487e-51,0.0281119884188467,0.0347702140405066,-1.80278616182956,0.00123048288721286,0.850187719142798,0.126966771812123,1.77421281074846,0.00213259799989441,0.456240653250037,0.395513949081916,-0.261905624985793,0.632081635281583,-1.90120844098383,0.000455871246512448
3,0.533403795739402,3.58360779321006e-56,0.0176728589290826,0.341351801596755,-1.15760956300924,0.124182086797029,0.737874753812575,0.328434680364288,1.02882563843482,0.208605186480961,-0.340563178992782,0.663748902677386,-0.149571890446234,0.850525917707239,-1.11329946194795,0.184193365943906
4,0.543688591923782,5.33368276356745e-56,0.00527699665864334,0.734410280459188,-2.18315623495067,0.000774655226387183,0.544338605513044,0.401068267092981,0.379199199369231,0.581288722389571,0.770292280438939,0.215008993119655,0.0325058787814169,0.959524825146938,-0.415451367334586,0.542817030786187
5,0.545779049173915,6.33665011741829e-56,0.00294804526793261,0.856706731738276,-1.85665732339602,0.00521569561791373,0.320720316723191,0.627633689444906,0.81160733987283,0.251900168094688,0.455316173299717,0.497553740232851,0.301331377947942,0.65943981297716,-0.917544441990126,0.20621012037639
6,0.540236487866232,3.29761731223686e-57,0.00896769838163783,0.60241531086792,-1.37915141495251,0.0517209201793951,0.526133190882191,0.463550574790407,0.835588237403301,0.270462018353829,-0.0922942618624791,0.891912554042666,0.0729692139297878,0.915659733751577,-0.842919098508969,0.238033800399067
7,0.529622976182918,9.27850503274736e-54,0.0217283200192144,0.162790894335824,-1.50717903647858,0.015059629669492,0.272540489516637,0.655794254624507,-0.15464200030669,0.79704778172211,0.0401978427608734,0.94802372021347,0.335822915310082,0.588512678154826,0.162678113062755,0.789891582838515
8,0.531686576167715,2.67151962931183e-52,0.0212066553363307,0.158908295960641,-1.41746488247844,0.0178415377624766,0.507676157182214,0.394773501899175,0.41275767450569,0.519947609317402,-0.0537898961434195,0.93147111873415,0.0581203421090258,0.928011019339521,-0.492425711965502,0.472196879335529
9,0.531356438026179,1.91749107873863e-54,0.0190861604434246,0.213184780909939,-1.33643101967143,0.0387600514353668,0.844966307809793,0.191948482204109,0.685096392477409,0.309118753903021,-0.140872289045844,0.823136714121566,-0.279258040586174,0.665229435300668,-0.736474950304962,0.2687552826228
10,0.547480164951743,2.09747604467737e-56,0.00130661469306855,0.927898726999033,-2.1635314209109,0.000720544995240922,0.463656843787659,0.472682133830706,0.630492804323855,0.358592098635772,0.710807284401362,0.226942454321129,0.125944001161453,0.835023580138854,-0.608502074528738,0.32785110522393
11,0.549431310162036,5.67487905066108e-59,-0.000560178931180574,0.976145620808044,-1.44795480535369,0.0708960602936389,0.444145783181139,0.586468373680892,0.881494025618906,0.296133807706696,-0.0184203870184664,0.980680386937494,0.159282782294967,0.837168335861608,-0.878872450957444,0.268748441540527
12,0.554321947685333,4.65026327989665e-56,-0.00575016709103321,0.6803832637667,-1.61459447128971,0.0082284943837505,0.396751319195607,0.513515645142427,0.558132670721181,0.369430311630729,0.14001986798644,0.806451788016392,0.209894890181677,0.718326991707148,-0.574248826090306,0.322440134766764
13,0.545518162865982,2.30156326269937e-52,0.00306826526126505,0.77906759895005,-1.80728676064623,0.000613437954259643,1.13759335682463,0.029800504050088,0.452197265925959,0.402338756030485,0.340530206980201,0.437323442414293,-0.550064001729553,0.216766449343992,-0.412085855639033,0.366732151065837
14,0.55187318350903,1.09944983153246e-51,-0.00359809819636008,0.763394955292944,-1.56792614241688,0.00193361221130638,0.506871357107384,0.303770906420459,0.228761512336378,0.646424266769842,0.116679669875868,0.80791408873454,0.0843858421823152,0.856170433906374,-0.242042250353599,0.588898938225891
15,0.545928522347497,1.23917009909185e-56,0.00294478240518436,0.849389601103588,-1.72771977251797,0.00981179444446136,0.368246165940843,0.574381199733234,0.053860427583804,0.932497207184901,0.279101283211465,0.666982559345586,0.232566080813552,0.723383167923958,-0.0464786032146264,0.942488598048391
16,0.533632573216294,1.02961329095719e-56,0.0160987943385733,0.337527998440829,-2.44204404912555,0.000619180713556654,0.686338155836054,0.338081821240732,0.880628681416401,0.254279697990725,1.01733951352251,0.131718682786896,-0.105614302296326,0.878986586327499,-0.893219634728325,0.223793706177182
17,0.547638201047736,1.93562368515511e-52,0.000832267517152771,0.946547725992991,-1.74128773283687,0.00149474031773115,0.0825802104329225,0.876595299599432,0.510091844815783,0.366370164847744,0.309982231970571,0.544599680967692,0.542842890412852,0.286978739234059,-0.528218015357137,0.329350375862018
18,0.539969981684594,3.40512279195682e-54,0.00967445841502088,0.488028445588077,-1.84647220582459,0.00174728472204076,0.816693017856917,0.152741908745162,0.530389292757731,0.375511071745209,0.420599919073773,0.450021363042452,-0.251861072910017,0.64270523198308,-0.542138288677821,0.322166734717063
19,0.553389931438964,4.24840381283506e-50,-0.00566950101540242,0.596256609184595,-1.68185189877172,0.000479023330101416,0.231094246094494,0.62670510206735,0.284989326767261,0.568652662473087,0.257941626191554,0.55592820866439,0.40401991418582,0.359601841003778,-0.307041326320013,0.492335522953902
20,0.550379166906605,5.29715899748884e-56,-0.00191520252694441,0.88885115113075,-1.67575039134156,0.00665293211874537,1.0922583022924,0.0755085767398337,0.83831600327832,0.198454164164287,0.208758771544133,0.706378375939741,-0.523151460811895,0.350697643584841,-0.820517781663929,0.159499285794603
21,0.541402916301287,6.41606493269974e-52,0.00809214703072867,0.517329119580406,-1.77673152779996,0.00105685943738234,0.225032365866638,0.668098398101995,0.0281470861922679,0.957175832602649,0.341041167449498,0.502370450895954,0.402330391219966,0.426432290611541,-0.030180114689173,0.953176215001293
22,0.536590492154593,1.82641073640181e-55,0.0132098774541707,0.383243028813753,-2.27423508136729,0.000605535008635843,-0.880188450247138,0.180100269972293,-0.161814902909138,0.812799950531163,0.883612227071869,0.159407425718756,1.57235332565037,0.0129968088022379,0.223440345317271,0.734757515722803
23,0.55028442651338,1.35674381270871e-56,-0.00143636294433496,0.925626653589377,-1.72167168883304,0.00829490581153819,-0.0687544087826533,0.914217115568847,-0.0389860949683787,0.953379506445386,0.284351539154442,0.656913116820282,0.714101240280225,0.259575866161936,0.0608674374150156,0.925360644164454
24,0.549138847450042,3.89674434069786e-56,-0.000269319546660096,0.985425448826482,-1.77256013457664,0.00459792026545876,0.160578266783355,0.791170670269775,0.513164172629936,0.388347208409539,0.305350791703046,0.609590175619118,0.459415403701277,0.440290513231523,-0.554826085176351,0.346503543916916
25,0.531248927950555,4.19264141740375e-56,0.0172462682631755,0.413251095689687,-2.10518433981569,0.0161729769387087,1.06379893292407,0.21645321955555,1.40695378883159,0.122645554337571,0.631118671179535,0.447696008257365,-0.488095327776599,0.553719782297891,-1.39321448444412,0.10727763095356
26,0.544881613407698,3.80403754945705e-58,0.00429481970956264,0.81553213067581,-1.03701877252573,0.176532490881618,-0.431671796024727,0.564929891385214,-0.159610427937478,0.832863251170899,-0.463447547881463,0.53492349361495,1.0883360725173,0.145439740527459,0.180447637703414,0.811726114548342
27,0.543430445647047,2.76395315498557e-58,0.0054306456399259,0.752755354485746,-2.55490836625057,0.000647052519927638,0.465086037237615,0.524724468208961,0.394767607651637,0.595567086977213,1.09844157241602,0.112498868377265,0.116731382148994,0.86405075148659,-0.384920478630281,0.566805551347113
28,0.543299859316907,6.7535084358756e-58,0.00556568434534842,0.749590957263577,-2.82235979153939,0.000157651960693018,-0.149058585665193,0.840797700771746,0.113140978455312,0.884544023808241,1.40038247709983,0.0479586969080504,0.752854293077722,0.293201921955842,-0.11207608526525,0.87909845146888
29,0.533636155640254,7.99911023835929e-57,0.0152144923585947,0.456390015670987,-2.53327252905366,0.00348806352894998,-0.235094156384091,0.787455144019363,0.77464702726099,0.374997449169849,1.05241641521017,0.201629453896781,0.843548553799786,0.314170571522682,-0.781173819090965,0.335057069569978
30,0.533283084139465,1.84133146352098e-53,0.0165273556963268,0.234986614856085,-2.26125096512278,0.000174616333727725,0.254567666869401,0.664659205569539,0.388862983528121,0.524526004455262,0.868132727549544,0.131662978735362,0.371722226336735,0.519207406590395,-0.383099533026766,0.523352640747274
31,0.539566173913248,7.51018759325951e-45,0.00846617496639583,0.766930986200129,-4.54917260803777,0.000449969890029192,-0.0975590964619802,0.938302226717167,-0.0160460597452286,0.989276929182778,2.83885218954691,0.0143983713745432,0.630210813963682,0.580459846060895,0.038865531396476,0.97187296451982
