"Node_Number","ROI_Name_7N","Network_7N","Node_Number_17N","ROI_Name_17N","Network_17N","R","A","S"
1,"7Networks_LH_Vis_1","Vis",49,"17Networks_LH_DefaultC_PHC_1","DefaultC",-26,-34,-17
2,"7Networks_LH_Vis_2","Vis",1,"17Networks_LH_VisCent_ExStr_1","VisCent",-26,-77,-14
3,"7Networks_LH_Vis_3","Vis",5,"17Networks_LH_VisPeri_ExStrInf_1","VisPeri",-17,-60,-7
4,"7Networks_LH_Vis_4","Vis",2,"17Networks_LH_VisCent_ExStr_2","VisCent",-27,-95,-4
5,"7Networks_LH_Vis_5","Vis",3,"17Networks_LH_VisCent_Striate_1","VisCent",-5,-92,-2
6,"7Networks_LH_Vis_6","Vis",6,"17Networks_LH_VisPeri_StriCal_1","VisPeri",-12,-67,7
7,"7Networks_LH_Vis_7","Vis",15,"17Networks_LH_DorsAttnA_ParOcc_1","DorsAttnA",-47,-71,11
8,"7Networks_LH_Vis_8","Vis",4,"17Networks_LH_VisCent_ExStr_3","VisCent",-25,-88,20
9,"7Networks_LH_Vis_9","Vis",7,"17Networks_LH_VisPeri_ExStrSup_1","VisPeri",-6,-82,26
10,"7Networks_LH_SomMot_1","SomMot",10,"17Networks_LH_SomMotB_Aud_1","SomMotB",-53,-23,8
11,"7Networks_LH_SomMot_2","SomMot",11,"17Networks_LH_SomMotB_S2_1","SomMotB",-37,-21,16
12,"7Networks_LH_SomMot_3","SomMot",12,"17Networks_LH_SomMotB_S2_2","SomMotB",-54,-12,13
13,"7Networks_LH_SomMot_4","SomMot",13,"17Networks_LH_SomMotB_Cent_1","SomMotB",-55,-8,34
14,"7Networks_LH_SomMot_5","SomMot",8,"17Networks_LH_SomMotA_1","SomMotA",-39,-23,59
15,"7Networks_LH_SomMot_6","SomMot",9,"17Networks_LH_SomMotA_2","SomMotA",-6,-29,70
16,"7Networks_LH_DorsAttn_Post_1","DorsAttn",14,"17Networks_LH_DorsAttnA_TempOcc_1","DorsAttnA",-47,-58,-13
17,"7Networks_LH_DorsAttn_Post_2","DorsAttn",17,"17Networks_LH_DorsAttnB_PostC_1","DorsAttnB",-57,-25,39
